mission	roll	frame	Photo Date	Photo Time GMT	Center Point Lat	Center Point Lon	Nadir Lat	Nadir Lon	Spacecraft Altitude (nautical miles)	Lens mm	geon	feat	Clouds Percentage	Look Angle	Look Direction	Sun Azimuth	Sun Elevation Angle	camera	film	Camera (uncataloged)	caption	Features from Image Detectives (not NASA)	RecordType
ISS052	E	  63378	20170819	192005	-51.5	100.0	-51.7	88.5	221	22	INDIAN OCEAN	PAN- AURORA AUSTRALIS, EARTH LIMB	100	HO	E	154	-48	Nikon D4 Electronic Still Camera	4928E: 4928 x 3280 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 16.6 million, Nikon FX format		<b> Southern Lights near the Great Australian Bight </b><p>An astronaut took this photograph of the <em><a href="https://earthobservatory.nasa.gov/IOTD/view.php?id=44348">Aurora Australis</a></em> in August 2017. At the time, the International Space Station was moving over the southern Indian Ocean towards the Great Australian Bight and Melbourne, Australia. <a href="/BeyondThePhotography/CrewEarthObservationsVideos/videos/slights_iss_20170817/slights_iss_20170817.mp4?">Click here</a> to see a video of the flight over the aurora.</p><p>Auroras are created in the upper atmosphere when the <a href="https://solarscience.msfc.nasa.gov/SolarWind.shtml">solar wind</a> (a stream of charged particles emitted by the Sun) interacts with the Earth's protective magnetic field. Charged particles within the <a href="https://earthobservatory.nasa.gov/IOTD/view.php?id=50208">magnetosphere</a> are accelerated down field lines toward the <a href="https://www.swpc.noaa.gov/phenomena/ionosphere">ionosphere</a>, where they collide with different gases (particularly oxygen and nitrogen) and emit light as a reaction. Auroras often appear as neon green, purple, yellow, or red, depending on the gas molecules being excited. Green, for example, indicates collisions with oxygen.</p>		CatalogedWithCenterPoint
ISS006	E	  51911	20030301	172348			.6	140.4	212	58	AURORA	AURORA AUSTRALIS, STARS, LIGHTNING	0	HO		101	-51	Nikon D1 Electronic Still Camera	2000E: 2000 x 1312 pixel CCD, RGBG imager color filter				CatalogedWithoutCenterPoint
ISS006	E	  51910	20030301	172338			.1	140.1	212	58	AURORA	AURORA AUSTRALIS, STARS	0	HO		102	-52	Nikon D1 Electronic Still Camera	2000E: 2000 x 1312 pixel CCD, RGBG imager color filter				CatalogedWithoutCenterPoint
ISS006	E	  51909	20030301	172327			-.4	139.7	212	58	AURORA	AURORA AUSTRALIS, STARS	0	HO		103	-52	Nikon D1 Electronic Still Camera	2000E: 2000 x 1312 pixel CCD, RGBG imager color filter				CatalogedWithoutCenterPoint
ISS006	E	  51908	20030301	172312			-1.2	139.1	212	58	AURORA	AURORA AUSTRALIS, STARS, LIGHTNING	0	HO		104	-52	Nikon D1 Electronic Still Camera	2000E: 2000 x 1312 pixel CCD, RGBG imager color filter				CatalogedWithoutCenterPoint
ISS006	E	  51907	20030301	172226			-3.6	137.5	212	58	AURORA	AURORA AUSTRALIS, STARS	0	HO		108	-53	Nikon D1 Electronic Still Camera	2000E: 2000 x 1312 pixel CCD, RGBG imager color filter				CatalogedWithoutCenterPoint
ISS006	E	  51906	20030301	172158			-5.0	136.5	212	58	AURORA	AURORA AUSTRALIS, STARS		HO		110	-54	Nikon D1 Electronic Still Camera	2000E: 2000 x 1312 pixel CCD, RGBG imager color filter				CatalogedWithoutCenterPoint
ISS006	E	  51905	20030301	172115			-7.2	134.9	212	58	AURORA	AURORA AUSTRALIS, STARS	0	HO		114	-55	Nikon D1 Electronic Still Camera	2000E: 2000 x 1312 pixel CCD, RGBG imager color filter				CatalogedWithoutCenterPoint
ISS006	E	  50888	20030430	171615			-37.8	103.8	215	58	AURORA	AURORA AUSTRALIS		HO		171	-67	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithoutCenterPoint
ISS006	E	  50887	20030430	171606			-38.2	103.2	215	58	AURORA	AURORA AUSTRALIS		HO		173	-67	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithoutCenterPoint
ISS006	E	  50886	20030430	171557			-38.5	102.7	215	58	AURORA	AURORA AUSTRALIS		HO		174	-66	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithoutCenterPoint
