mission	roll	frame	Photo Date	Photo Time GMT	Center Point Lat	Center Point Lon	Nadir Lat	Nadir Lon	Spacecraft Altitude (nautical miles)	Lens mm	geon	feat	Clouds Percentage	Look Angle	Look Direction	Sun Azimuth	Sun Elevation Angle	camera	film	Camera (uncataloged)	caption	Features from Image Detectives (not NASA)	RecordType
ISS006	E	  18372	20030118	074040	50.5	-69.5	46.5	-55.5	206	58	CANADA-Q	AURORA BOREALIS, MANICOUAGAN RESERVOIR	25	HO	W	81	-37	Nikon D1 Electronic Still Camera	2000E: 2000 x 1312 pixel CCD, RGBG imager color filter		What do auroras look like from space?  From the ground, auroras dance high above clouds, frequently causing spectacular displays.  The International Space Station (ISS) orbits just at the same height as many auroras, though. Therefore, sometimes it flies over them, but also sometimes it flies right through.  The auroral electron and proton streams are too thin to be a danger to the ISS, just as clouds pose little danger to airplanes.  ISS Science Officer Don Pettit captured a green aurora, pictured above in a digitally sharpened image.  From orbit, Dr. Pettit reports, changing auroras can appear to crawl around like giant green amoebas.  Far below, on planet Earth, the Manicouagan Impact Crater can be seen in northern Canada.		CatalogedWithCenterPoint
ISS006	E	  18371	20030118	074012	52.0	-71.5	47.3	-57.8	206	58	AURORA	AURORA BOREALIS OVER CANADA	50	HO	W	78	-39	Nikon D1 Electronic Still Camera	2000E: 2000 x 1312 pixel CCD, RGBG imager color filter				CatalogedWithCenterPoint
ISS006	E	  18367	20030118	073551	57.0	-102.0	51.6	-82.1	205	58	AURORA	AURORA BOREALIS, LAKE WINNIPEG	25	HO	W	48	-52	Nikon D1 Electronic Still Camera	2000E: 2000 x 1312 pixel CCD, RGBG imager color filter				CatalogedWithCenterPoint
ISS011	E	  12415	20050831	225812	59.8	24.8	50.6	15.1	187	50	ESTONIA	AURORA BOREALIS, MOON,HELSINKI	10	HO	NE	360	-31	Nikon D1 Electronic Still Camera	2000E: 2000 x 1312 pixel CCD, RGBG imager color filter		ISS011-E-12415 (31 August 2005) --- Aurora Borealis and city lights in Scandanavia are featured in this digital still picture taken by the Expedition 12 crew aboard the International Space Station.  The Station was over a point on Earth located at 50.6 degrees north latitude and 15.1 degees east longitude at the time. The cluster of stars to the lower right of the thin crescent Moon is the Praesepe or Beehive Cluster in Cancer.  Just to the right of that is the planet Saturn.		CatalogedWithCenterPoint
ISS016	E	  27082	20080202	221105	52.0	-1.0	49.4	1.9	179	28	UK-ENGLAND	PAN-AURORA BOREALIS, EUROPE	10	53	NW	314	-50	Nikon D1 Electronic Still Camera	2000E: 2000 x 1312 pixel CCD, RGBG imager color filter				CatalogedWithCenterPoint
ISS022	E	  85427	20100308	193705	57.1	38.9	47.8	45.2	184	85	RUSSIAN FEDERATION	PAN-AURORA BOREALIS, STARS, MOSCOW AT NIGHT, BLURRED	10	HO	NW	328	-43	Nikon D2Xs Electronic Still Camera	4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter				CatalogedWithCenterPoint
ISS022	E	  85426	20100308	193654	57.3	39.0	48.0	44.3	184	85	RUSSIAN FEDERATION	PAN-AURORA BOREALIS, STARS, MOSCOW AT NIGHT, BLURRED	0	HO	NW	327	-42	Nikon D2Xs Electronic Still Camera	4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter				CatalogedWithCenterPoint
ISS029	E	  12564	20110929	080444	41.0	-90.5	37.4	-95.5	208	20	USA-ILLINOIS	CHICAGO , LAKE MICHIGAN, AURORA BOREALIS, ST LOUIS AT NIGHT	10	HO	NE	43	-47	Nikon D3S Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format		<b>Midwestern USA at Night with Aurora Borealis</b><br><br>The night skies viewed from the International Space Station are illuminated with light from many sources.  For example, the Midwestern United States presents a night-time appearance not unlike a patchwork quilt when viewed from orbit. The artificial light from human settlements appears everywhere with a characteristic yellow tinge in this astronaut photograph. But green light of the aurora borealis borealis also appears strongly in this view (image top left)--even seeming to be reflected off the  Earth's surface--in Canada--beneath the aurora. A small white patch of light is almost certainly lightning from a storm on the East coast (image top right). Part of the International Space Station appears across the top of the image.<br><br>This astronaut photograph highlights the Chicago, IL, metropolitan area as the largest cluster of lights at image center, next to the dark patch of Lake Michigan. The other largest metropolitan areas include St. Louis, MO (lower right), Minneapolis-St. Paul, MN (image left) and the Omaha-Council Bluffs region on the Nebraska-Iowa border (lower left).  City light clusters give an immediate sense of relative city size; demographers have used night time satellite imagery to make estimates of city populations, especially in the developing world where city growth can be very rapid.<br><br>The US northeast seaboard lies in the most oblique (meaning viewed at an angle) part of the image at top right, just beyond the Appalachian Mts., a dark winding zone without major cities. Scales change significantly in oblique views: Omaha is only 200 km from Des Moines, but appears roughly the same distance from Minneapolis--which is actually 375 km to the north of Des Moines.<br> <br>In addition to the major metropolitan areas, the rectangular NS/EW-oriented pattern of townships is clearly visible in the rural, lower left part of the image.  This pattern instantly gives the sense of north orientation (toward the top left corner) and is a distinctive characteristic of the United States, so that astronauts can quickly know which continent they are flying over even at night.<br> <br>In contrast to the regular township pattern, interstate highways converge on St. Louis (e.g. Hwy 44), Chicago and other large cities, much like wheel spokes around a central hub. Rivers--major visual features in daylight--become almost invisible at night.  The course of the Mississippi River appears as a slightly meandering zone from Minneapolis through St. Louis (dashed line)--the river course continues out of the lower right corner of the image.<br>		CatalogedWithCenterPoint
ISS030	E	 110900	20120203	054942	55.0	-68.0	49.4	-74.9	206	28	CANADA-Q	AURORA BOREALIS, ATMOSPHERIC LIMB, MANICOUAGAN  RES. AT NIGHT	25	HO	NE	16	-57	Nikon D3S Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format		<B>Aurora and Manicouagan Crater, Quebec, at night</B><br><br><P>An astronaut aboard the International Space Station adjusted the camera for night imaging--and captured green veils and curtains of an aurora that spans thousands of km of Canada's northern lands.  Snow and ice in this winter image reflect enough light from stars and the aurora to reveal several details of the night landscape--especially ice on the frozen reservoir that now occupies the 60-km Manicouagan impact crater (at image lower right). Another ice-covered, irregularly shaped reservoir--Caniapiscau--is more difficult to detect (at image left). City lights reveal the small towns of the region, like the iron-ore mining town of Labrador City (at image center right) and the Royal Canadian Air Force (RCAF) base Goose Bay (at image top right).</P><br><br><P>The brilliant aurora borealis is the light that glows when charged particles from the Sun collide with atoms in the atmosphere.  The green and faint red colors are caused by oxygen atoms. The fainter arc of light that parallels the horizon is known as airglow.  This is another, but different manifestation of the interaction of the Earth's atmosphere with radiation from the Sun.</P><br><br><P>The atmosphere shields living things on Earth's surface from the Sun's harmful radiation.  It also causes small impacting asteroids to burn up in the atmosphere, or catastrophically explode like the Chelyabinsk event of 2013, before hitting the ground.</P><br><br><P>By contrast, larger asteroids are able to penetrate the atmosphere and collide with our rocky planet, with dramatic effects. Geologists now know that a large asteroid slammed into the Earth about 214 million years ago, creating a crater ~100 km across (60 miles), although the Manicouagan crater in its present form, after erosion by "recent" glaciers in the last 2 million years, is today ~60 km (37 miles) wide.  The impact caused a shock wave to radiate across the Earth's surface, followed closely by high-velocity winds. Near the impact point wind speeds would have exceeded 1000 km per hour (620 miles per hour).  Farther away winds would have decelerated to hurricane force.  The shock wave and airblast would have severely damaged and killed plants and animals out to radial distances of approximately 560 km (350 miles)--as far as the town of Goose Bay on the Labrador Sea (at image top right)--that is, the lower half of this scene.</P><br>		CatalogedWithCenterPoint
ISS037	E	  12957	20131009	100828	48.0	-122.0	40.2	-129.8	223	50	USA-WASHINGTON	PAN- EARTH LIMB, AURORA BOREALIS, VANCOUVER AT NIGHT, SEATTLE, PORTLAND	0	HO	NE	41	-49	Nikon D3S Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
